IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
35.201.203.106,443,true,TPE,Asia Pacific,Taipei,82 ms,17485 kB/s
34.89.209.134,443,true,FRA,Europe,Frankfurt,251 ms,7082 kB/s
35.246.255.2,443,true,FRA,Europe,Frankfurt,255 ms,6967 kB/s
34.141.245.109,443,true,FRA,Europe,Frankfurt,241 ms,6943 kB/s
34.90.221.59,443,true,FRA,Europe,Frankfurt,262 ms,6705 kB/s
34.154.21.152,443,true,FRA,Europe,Frankfurt,233 ms,6649 kB/s
34.65.235.165,443,true,FRA,Europe,Frankfurt,249 ms,6645 kB/s
34.141.236.10,443,true,FRA,Europe,Frankfurt,253 ms,6636 kB/s
34.107.94.122,443,true,FRA,Europe,Frankfurt,237 ms,6441 kB/s
34.118.13.78,443,true,FRA,Europe,Frankfurt,257 ms,6434 kB/s
34.141.64.240,443,true,FRA,Europe,Frankfurt,244 ms,6349 kB/s
34.159.90.98,443,true,FRA,Europe,Frankfurt,255 ms,6303 kB/s
34.154.37.15,443,true,FRA,Europe,Frankfurt,252 ms,6255 kB/s
34.116.142.119,443,true,FRA,Europe,Frankfurt,260 ms,6178 kB/s
34.34.7.155,443,true,FRA,Europe,Frankfurt,253 ms,6111 kB/s
35.230.79.26,443,true,SEA,North America,Seattle,262 ms,6047 kB/s
34.159.184.197,443,true,FRA,Europe,Frankfurt,248 ms,6046 kB/s
34.116.134.240,443,true,FRA,Europe,Frankfurt,272 ms,5990 kB/s
34.116.214.3,443,true,FRA,Europe,Frankfurt,251 ms,5896 kB/s
34.89.182.248,443,true,FRA,Europe,Frankfurt,254 ms,5858 kB/s
35.197.23.75,443,true,SEA,North America,Seattle,203 ms,5788 kB/s
34.116.249.21,443,true,FRA,Europe,Frankfurt,257 ms,5777 kB/s
34.154.27.90,443,true,FRA,Europe,Frankfurt,239 ms,5734 kB/s
34.32.146.80,443,true,FRA,Europe,Frankfurt,263 ms,5722 kB/s
34.116.171.235,443,true,FRA,Europe,Frankfurt,272 ms,5662 kB/s
34.65.108.37,443,true,FRA,Europe,Frankfurt,246 ms,5646 kB/s
34.107.106.55,443,true,FRA,Europe,Frankfurt,240 ms,5634 kB/s
34.159.135.189,443,true,FRA,Europe,Frankfurt,243 ms,5550 kB/s
34.154.159.9,443,true,FRA,Europe,Frankfurt,258 ms,5524 kB/s
