IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
34.116.135.209,443,true,FRA,Europe,Frankfurt,279 ms,5511 kB/s
34.89.206.136,443,true,FRA,Europe,Frankfurt,245 ms,5457 kB/s
34.154.150.21,443,true,FRA,Europe,Frankfurt,239 ms,5422 kB/s
34.118.78.11,443,true,FRA,Europe,Frankfurt,261 ms,5419 kB/s
34.159.221.26,443,true,FRA,Europe,Frankfurt,256 ms,5380 kB/s
34.118.8.60,443,true,FRA,Europe,Frankfurt,269 ms,5320 kB/s
34.118.126.252,443,true,FRA,Europe,Frankfurt,268 ms,5246 kB/s
34.116.133.90,443,true,FRA,Europe,Frankfurt,279 ms,5242 kB/s
34.116.156.200,443,true,FRA,Europe,Frankfurt,255 ms,5190 kB/s
34.159.206.29,443,true,FRA,Europe,Frankfurt,244 ms,5187 kB/s
34.90.93.252,443,true,FRA,Europe,Frankfurt,244 ms,5060 kB/s
34.118.101.126,443,true,FRA,Europe,Frankfurt,262 ms,5056 kB/s
35.204.33.96,443,true,FRA,Europe,Frankfurt,245 ms,5055 kB/s
34.154.172.44,443,true,FRA,Europe,Frankfurt,261 ms,5029 kB/s
34.116.205.141,443,true,FRA,Europe,Frankfurt,256 ms,5026 kB/s
34.116.161.88,443,true,FRA,Europe,Frankfurt,259 ms,4990 kB/s
34.118.89.90,443,true,FRA,Europe,Frankfurt,260 ms,4929 kB/s
34.34.27.117,443,true,FRA,Europe,Frankfurt,250 ms,4868 kB/s
34.118.54.96,443,true,FRA,Europe,Frankfurt,263 ms,4803 kB/s
34.154.184.119,443,true,FRA,Europe,Frankfurt,248 ms,4801 kB/s
35.204.117.68,443,true,FRA,Europe,Frankfurt,264 ms,4763 kB/s
34.118.30.198,443,true,FRA,Europe,Frankfurt,266 ms,4670 kB/s
35.204.224.38,443,true,FRA,Europe,Frankfurt,256 ms,4633 kB/s
34.118.32.216,443,true,FRA,Europe,Frankfurt,260 ms,4612 kB/s
34.32.184.199,443,true,FRA,Europe,Frankfurt,250 ms,4574 kB/s
34.159.167.93,443,true,FRA,Europe,Frankfurt,241 ms,4408 kB/s
34.91.141.104,443,true,FRA,Europe,Frankfurt,248 ms,4340 kB/s
34.159.215.161,443,true,FRA,Europe,Frankfurt,259 ms,4322 kB/s
34.91.218.58,443,true,FRA,Europe,Frankfurt,242 ms,4231 kB/s
35.242.215.221,443,true,FRA,Europe,Frankfurt,258 ms,3949 kB/s
34.118.1.28,443,true,FRA,Europe,Frankfurt,269 ms,3544 kB/s
35.198.158.4,443,true,FRA,Europe,Frankfurt,248 ms,3506 kB/s
34.118.121.202,443,true,FRA,Europe,Frankfurt,275 ms,3422 kB/s
34.118.28.145,443,true,FRA,Europe,Frankfurt,269 ms,3359 kB/s
34.90.204.70,443,true,FRA,Europe,Frankfurt,254 ms,3257 kB/s
34.154.39.197,443,true,FRA,Europe,Frankfurt,253 ms,3233 kB/s
34.118.25.79,443,true,FRA,Europe,Frankfurt,276 ms,1797 kB/s
34.118.67.148,443,true,FRA,Europe,Frankfurt,277 ms,1730 kB/s
35.234.100.223,443,true,FRA,Europe,Frankfurt,245 ms,1392 kB/s
34.154.216.37,443,true,FRA,Europe,Frankfurt,251 ms,1388 kB/s
34.154.60.114,443,true,FRA,Europe,Frankfurt,243 ms,1136 kB/s
34.154.223.40,443,true,FRA,Europe,Frankfurt,244 ms,1041 kB/s
34.65.118.63,443,true,FRA,Europe,Frankfurt,260 ms,1008 kB/s
34.116.200.243,443,true,FRA,Europe,Frankfurt,248 ms,982 kB/s
34.154.230.148,443,true,FRA,Europe,Frankfurt,250 ms,955 kB/s
34.116.238.191,443,true,FRA,Europe,Frankfurt,265 ms,860 kB/s
34.147.28.91,443,true,FRA,Europe,Frankfurt,241 ms,838 kB/s
34.154.198.179,443,true,FRA,Europe,Frankfurt,256 ms,835 kB/s
34.65.203.182,443,true,FRA,Europe,Frankfurt,235 ms,826 kB/s
34.90.82.108,443,true,FRA,Europe,Frankfurt,257 ms,822 kB/s
34.159.208.192,443,true,FRA,Europe,Frankfurt,239 ms,818 kB/s
34.90.42.149,443,true,FRA,Europe,Frankfurt,239 ms,812 kB/s
34.65.81.183,443,true,FRA,Europe,Frankfurt,244 ms,766 kB/s
34.154.187.142,443,true,FRA,Europe,Frankfurt,239 ms,758 kB/s
34.65.235.106,443,true,FRA,Europe,Frankfurt,247 ms,739 kB/s
35.204.137.100,443,true,FRA,Europe,Frankfurt,265 ms,625 kB/s
34.34.36.61,443,true,FRA,Europe,Frankfurt,251 ms,617 kB/s
34.34.35.183,443,true,FRA,Europe,Frankfurt,257 ms,614 kB/s
34.107.49.193,443,true,FRA,Europe,Frankfurt,241 ms,614 kB/s
34.141.210.184,443,true,FRA,Europe,Frankfurt,264 ms,595 kB/s
34.116.132.252,443,true,FRA,Europe,Frankfurt,255 ms,595 kB/s
34.116.211.185,443,true,FRA,Europe,Frankfurt,270 ms,572 kB/s
35.242.243.134,443,true,FRA,Europe,Frankfurt,240 ms,572 kB/s
34.116.139.71,443,true,FRA,Europe,Frankfurt,254 ms,563 kB/s
34.116.131.64,443,true,FRA,Europe,Frankfurt,247 ms,556 kB/s
34.91.183.32,443,true,FRA,Europe,Frankfurt,252 ms,544 kB/s
34.154.13.73,443,true,FRA,Europe,Frankfurt,237 ms,518 kB/s
35.204.230.15,443,true,FRA,Europe,Frankfurt,241 ms,510 kB/s
34.89.129.142,443,true,FRA,Europe,Frankfurt,249 ms,508 kB/s
34.116.157.41,443,true,FRA,Europe,Frankfurt,258 ms,503 kB/s
34.116.179.88,443,true,FRA,Europe,Frankfurt,257 ms,480 kB/s
34.154.137.95,443,true,FRA,Europe,Frankfurt,240 ms,473 kB/s
34.90.123.5,443,true,FRA,Europe,Frankfurt,244 ms,423 kB/s
34.107.82.230,443,true,FRA,Europe,Frankfurt,245 ms,400 kB/s
34.89.250.229,443,true,FRA,Europe,Frankfurt,231 ms,400 kB/s
34.118.7.22,443,true,FRA,Europe,Frankfurt,256 ms,387 kB/s
34.116.241.55,443,true,FRA,Europe,Frankfurt,273 ms,380 kB/s
34.141.90.157,443,true,FRA,Europe,Frankfurt,247 ms,374 kB/s
34.91.230.226,443,true,FRA,Europe,Frankfurt,244 ms,374 kB/s
34.116.190.169,443,true,FRA,Europe,Frankfurt,263 ms,348 kB/s
34.154.172.31,443,true,FRA,Europe,Frankfurt,250 ms,345 kB/s
34.118.13.155,443,true,FRA,Europe,Frankfurt,255 ms,345 kB/s
35.198.72.47,443,true,FRA,Europe,Frankfurt,247 ms,336 kB/s
34.116.128.251,443,true,FRA,Europe,Frankfurt,250 ms,329 kB/s
34.159.5.116,443,true,FRA,Europe,Frankfurt,251 ms,320 kB/s
34.159.29.245,443,true,FRA,Europe,Frankfurt,251 ms,304 kB/s
34.154.189.245,443,true,FRA,Europe,Frankfurt,232 ms,291 kB/s
34.118.76.96,443,true,FRA,Europe,Frankfurt,254 ms,291 kB/s
34.118.46.250,443,true,FRA,Europe,Frankfurt,260 ms,288 kB/s
34.118.112.167,443,true,FRA,Europe,Frankfurt,272 ms,284 kB/s
34.118.44.55,443,true,FRA,Europe,Frankfurt,273 ms,281 kB/s
34.116.145.162,443,true,FRA,Europe,Frankfurt,255 ms,265 kB/s
34.118.2.183,443,true,FRA,Europe,Frankfurt,268 ms,265 kB/s
34.118.112.163,443,true,FRA,Europe,Frankfurt,268 ms,259 kB/s
34.89.235.122,443,true,FRA,Europe,Frankfurt,245 ms,251 kB/s
34.118.37.122,443,true,FRA,Europe,Frankfurt,260 ms,240 kB/s
34.123.83.237,443,true,ORD,North America,Chicago,338 ms,240 kB/s
34.118.16.81,443,true,FRA,Europe,Frankfurt,252 ms,182 kB/s
34.34.43.14,443,true,FRA,Europe,Frankfurt,253 ms,163 kB/s
34.66.72.229,443,true,ORD,North America,Chicago,343 ms,160 kB/s
34.116.154.245,443,true,FRA,Europe,Frankfurt,242 ms,112 kB/s
34.116.246.250,443,true,FRA,Europe,Frankfurt,258 ms,99 kB/s
35.242.207.37,443,true,FRA,Europe,Frankfurt,260 ms,89 kB/s
34.163.89.60,2053,true,CDG,Europe,Paris,424 ms,77 kB/s
34.41.252.92,443,true,ORD,North America,Chicago,332 ms,61 kB/s
34.116.186.249,443,true,FRA,Europe,Frankfurt,262 ms,54 kB/s
34.105.3.218,443,true,SEA,North America,Seattle,197 ms,42 kB/s
34.118.85.231,443,true,FRA,Europe,Frankfurt,278 ms,26 kB/s
34.116.191.142,443,true,FRA,Europe,Frankfurt,262 ms,0 kB/s
34.141.41.41,443,true,FRA,Europe,Frankfurt,246 ms,0 kB/s
34.118.20.0,443,true,FRA,Europe,Frankfurt,267 ms,0 kB/s
34.154.150.141,443,true,FRA,Europe,Frankfurt,248 ms,0 kB/s
34.116.177.76,443,true,FRA,Europe,Frankfurt,278 ms,0 kB/s
34.105.49.234,443,true,SEA,North America,Seattle,208 ms,0 kB/s
34.118.102.66,443,true,FRA,Europe,Frankfurt,254 ms,0 kB/s
34.91.156.200,443,true,FRA,Europe,Frankfurt,264 ms,0 kB/s
34.118.4.189,443,true,FRA,Europe,Frankfurt,275 ms,0 kB/s
34.118.64.15,443,true,FRA,Europe,Frankfurt,260 ms,0 kB/s
34.118.64.39,443,true,FRA,Europe,Frankfurt,266 ms,0 kB/s
34.118.110.34,443,true,FRA,Europe,Frankfurt,273 ms,0 kB/s
34.154.27.120,443,true,FRA,Europe,Frankfurt,240 ms,0 kB/s
