IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.76.204.76,2053,true,HKG,Asia Pacific,Hong Kong,62 ms,14635 kB/s
47.238.40.58,2053,true,HKG,Asia Pacific,Hong Kong,62 ms,13296 kB/s
47.76.77.103,2096,true,HKG,Asia Pacific,Hong Kong,58 ms,12392 kB/s
47.76.77.103,2087,true,HKG,Asia Pacific,Hong Kong,63 ms,10384 kB/s
47.243.234.9,2053,true,HKG,Asia Pacific,Hong Kong,55 ms,10337 kB/s
47.238.40.58,2087,true,HKG,Asia Pacific,Hong Kong,62 ms,10238 kB/s
47.76.77.103,2053,true,HKG,Asia Pacific,Hong Kong,60 ms,9528 kB/s
8.219.100.168,2053,true,SIN,Asia Pacific,Singapore,234 ms,9466 kB/s
47.76.204.76,2083,true,HKG,Asia Pacific,Hong Kong,64 ms,9183 kB/s
47.76.77.103,2083,true,HKG,Asia Pacific,Hong Kong,58 ms,8806 kB/s
47.76.159.146,2053,true,HKG,Asia Pacific,Hong Kong,72 ms,8422 kB/s
8.219.83.201,2053,true,SIN,Asia Pacific,Singapore,209 ms,7672 kB/s
8.219.11.158,2087,true,SIN,Asia Pacific,Singapore,219 ms,7650 kB/s
8.219.104.37,2096,true,SIN,Asia Pacific,Singapore,226 ms,7631 kB/s
8.222.214.231,2053,true,SIN,Asia Pacific,Singapore,227 ms,7606 kB/s
8.219.209.14,2083,true,SIN,Asia Pacific,Singapore,233 ms,7337 kB/s
8.219.117.198,2053,true,SIN,Asia Pacific,Singapore,239 ms,7310 kB/s
8.219.191.40,2096,true,SIN,Asia Pacific,Singapore,224 ms,7269 kB/s
8.219.78.1,2083,true,SIN,Asia Pacific,Singapore,218 ms,7192 kB/s
8.219.78.188,2096,true,SIN,Asia Pacific,Singapore,222 ms,7152 kB/s
8.219.142.191,2053,true,SIN,Asia Pacific,Singapore,214 ms,7137 kB/s
8.222.204.128,443,true,SIN,Asia Pacific,Singapore,231 ms,7121 kB/s
47.236.102.102,2096,true,SIN,Asia Pacific,Singapore,248 ms,7097 kB/s
47.237.81.112,2096,true,SIN,Asia Pacific,Singapore,237 ms,6980 kB/s
8.222.214.231,2083,true,SIN,Asia Pacific,Singapore,231 ms,6890 kB/s
8.219.210.57,2087,true,SIN,Asia Pacific,Singapore,228 ms,6880 kB/s
47.236.180.24,2087,true,SIN,Asia Pacific,Singapore,249 ms,6847 kB/s
8.222.156.242,2087,true,SIN,Asia Pacific,Singapore,213 ms,6747 kB/s
47.236.254.120,2087,true,SIN,Asia Pacific,Singapore,221 ms,6659 kB/s
8.219.174.213,2053,true,SIN,Asia Pacific,Singapore,221 ms,6538 kB/s
47.237.86.185,2087,true,SIN,Asia Pacific,Singapore,252 ms,6392 kB/s
47.236.10.182,2096,true,SIN,Asia Pacific,Singapore,257 ms,6348 kB/s
47.236.93.176,8443,true,SIN,Asia Pacific,Singapore,233 ms,6328 kB/s
47.237.95.146,2096,true,SIN,Asia Pacific,Singapore,240 ms,6275 kB/s
8.219.222.98,2087,true,SIN,Asia Pacific,Singapore,214 ms,6265 kB/s
47.236.102.102,2087,true,SIN,Asia Pacific,Singapore,250 ms,6253 kB/s
8.219.174.213,2087,true,SIN,Asia Pacific,Singapore,226 ms,6209 kB/s
47.236.205.188,8443,true,SIN,Asia Pacific,Singapore,225 ms,6189 kB/s
8.219.194.170,8443,true,SIN,Asia Pacific,Singapore,221 ms,6185 kB/s
47.237.8.82,2053,true,SIN,Asia Pacific,Singapore,217 ms,6184 kB/s
47.236.93.176,2087,true,SIN,Asia Pacific,Singapore,246 ms,6125 kB/s
47.236.10.182,8443,true,SIN,Asia Pacific,Singapore,227 ms,6111 kB/s
8.222.237.131,2083,true,SIN,Asia Pacific,Singapore,214 ms,6103 kB/s
8.219.174.142,2087,true,SIN,Asia Pacific,Singapore,243 ms,6059 kB/s
47.236.180.51,8443,true,SIN,Asia Pacific,Singapore,232 ms,6058 kB/s
47.236.117.48,8443,true,SIN,Asia Pacific,Singapore,221 ms,6053 kB/s
8.219.147.58,2087,true,SIN,Asia Pacific,Singapore,233 ms,6036 kB/s
47.236.169.164,2083,true,SIN,Asia Pacific,Singapore,222 ms,6017 kB/s
47.236.10.182,2087,true,SIN,Asia Pacific,Singapore,223 ms,5990 kB/s
8.219.42.72,2096,true,SIN,Asia Pacific,Singapore,221 ms,5961 kB/s
8.219.161.129,2096,true,SIN,Asia Pacific,Singapore,214 ms,5957 kB/s
47.236.180.51,2096,true,SIN,Asia Pacific,Singapore,234 ms,5903 kB/s
8.219.161.129,2087,true,SIN,Asia Pacific,Singapore,223 ms,5873 kB/s
47.236.202.91,8443,true,SIN,Asia Pacific,Singapore,215 ms,5848 kB/s
47.236.9.152,2087,true,SIN,Asia Pacific,Singapore,218 ms,5829 kB/s
47.237.8.82,2083,true,SIN,Asia Pacific,Singapore,241 ms,5803 kB/s
8.219.209.14,2087,true,SIN,Asia Pacific,Singapore,241 ms,5775 kB/s
47.236.17.193,2087,true,SIN,Asia Pacific,Singapore,213 ms,5769 kB/s
47.236.169.164,2087,true,SIN,Asia Pacific,Singapore,212 ms,5767 kB/s
47.236.117.48,2096,true,SIN,Asia Pacific,Singapore,219 ms,5726 kB/s
47.237.94.140,2083,true,SIN,Asia Pacific,Singapore,219 ms,5698 kB/s
47.236.118.216,2087,true,SIN,Asia Pacific,Singapore,234 ms,5690 kB/s
8.222.165.117,2087,true,SIN,Asia Pacific,Singapore,217 ms,5641 kB/s
47.237.86.185,2096,true,SIN,Asia Pacific,Singapore,240 ms,5637 kB/s
47.236.167.231,2083,true,SIN,Asia Pacific,Singapore,236 ms,5630 kB/s
8.219.60.54,2096,true,SIN,Asia Pacific,Singapore,255 ms,5620 kB/s
47.236.254.120,2096,true,SIN,Asia Pacific,Singapore,231 ms,5585 kB/s
47.237.84.173,2053,true,SIN,Asia Pacific,Singapore,221 ms,5573 kB/s
8.219.6.150,8443,true,SIN,Asia Pacific,Singapore,227 ms,5573 kB/s
8.219.191.110,2087,true,SIN,Asia Pacific,Singapore,218 ms,5503 kB/s
8.219.199.220,2053,true,SIN,Asia Pacific,Singapore,237 ms,5500 kB/s
47.237.84.173,8443,true,SIN,Asia Pacific,Singapore,228 ms,5497 kB/s
8.219.191.40,2087,true,SIN,Asia Pacific,Singapore,221 ms,5497 kB/s
8.222.191.138,2053,true,SIN,Asia Pacific,Singapore,219 ms,5477 kB/s
47.236.202.91,2087,true,SIN,Asia Pacific,Singapore,233 ms,5476 kB/s
47.236.253.41,2083,true,SIN,Asia Pacific,Singapore,248 ms,5474 kB/s
8.219.199.220,2087,true,SIN,Asia Pacific,Singapore,223 ms,5407 kB/s
47.236.237.90,2053,true,SIN,Asia Pacific,Singapore,217 ms,5400 kB/s
47.237.83.20,2096,true,SIN,Asia Pacific,Singapore,217 ms,5392 kB/s
8.222.162.45,2087,true,SIN,Asia Pacific,Singapore,234 ms,5389 kB/s
47.236.202.91,2053,true,SIN,Asia Pacific,Singapore,211 ms,5387 kB/s
8.219.4.122,2087,true,SIN,Asia Pacific,Singapore,234 ms,5375 kB/s
47.236.80.110,2087,true,SIN,Asia Pacific,Singapore,235 ms,5349 kB/s
8.219.174.213,2083,true,SIN,Asia Pacific,Singapore,227 ms,5337 kB/s
8.219.1.92,2053,true,SIN,Asia Pacific,Singapore,227 ms,5330 kB/s
47.236.158.158,2087,true,SIN,Asia Pacific,Singapore,230 ms,5325 kB/s
8.219.177.205,2096,true,SIN,Asia Pacific,Singapore,214 ms,5319 kB/s
8.222.183.242,2096,true,SIN,Asia Pacific,Singapore,239 ms,5317 kB/s
8.222.156.242,8443,true,SIN,Asia Pacific,Singapore,238 ms,5315 kB/s
47.236.102.102,2083,true,SIN,Asia Pacific,Singapore,253 ms,5303 kB/s
47.236.102.102,2053,true,SIN,Asia Pacific,Singapore,221 ms,5298 kB/s
8.222.214.231,2087,true,SIN,Asia Pacific,Singapore,243 ms,5260 kB/s
8.222.164.209,2096,true,SIN,Asia Pacific,Singapore,226 ms,5250 kB/s
8.219.191.40,2053,true,SIN,Asia Pacific,Singapore,224 ms,5231 kB/s
47.236.174.206,2087,true,SIN,Asia Pacific,Singapore,213 ms,5222 kB/s
47.236.144.48,2087,true,SIN,Asia Pacific,Singapore,229 ms,5175 kB/s
8.219.147.58,2096,true,SIN,Asia Pacific,Singapore,212 ms,5175 kB/s
8.219.42.72,2053,true,SIN,Asia Pacific,Singapore,224 ms,5175 kB/s
47.237.14.220,2087,true,SIN,Asia Pacific,Singapore,216 ms,5173 kB/s
47.76.204.76,2087,true,HKG,Asia Pacific,Hong Kong,65 ms,5165 kB/s
47.236.254.120,2053,true,SIN,Asia Pacific,Singapore,251 ms,5165 kB/s
47.237.0.31,2087,true,SIN,Asia Pacific,Singapore,214 ms,5151 kB/s
8.222.249.190,2087,true,SIN,Asia Pacific,Singapore,212 ms,5146 kB/s
8.219.142.191,2083,true,SIN,Asia Pacific,Singapore,235 ms,5142 kB/s
8.219.114.201,8443,true,SIN,Asia Pacific,Singapore,221 ms,5141 kB/s
8.219.177.205,2053,true,SIN,Asia Pacific,Singapore,237 ms,5136 kB/s
47.236.80.110,2096,true,SIN,Asia Pacific,Singapore,229 ms,5130 kB/s
47.76.159.146,2087,true,HKG,Asia Pacific,Hong Kong,57 ms,5112 kB/s
47.237.10.1,2096,true,SIN,Asia Pacific,Singapore,239 ms,5100 kB/s
8.219.60.54,2053,true,SIN,Asia Pacific,Singapore,224 ms,5096 kB/s
47.236.174.206,8443,true,SIN,Asia Pacific,Singapore,233 ms,5089 kB/s
8.219.142.191,8443,true,SIN,Asia Pacific,Singapore,227 ms,5088 kB/s
8.222.156.242,2096,true,SIN,Asia Pacific,Singapore,219 ms,5083 kB/s
8.222.208.38,8443,true,SIN,Asia Pacific,Singapore,235 ms,5072 kB/s
47.237.14.220,2096,true,SIN,Asia Pacific,Singapore,215 ms,5061 kB/s
47.237.95.146,2087,true,SIN,Asia Pacific,Singapore,214 ms,5058 kB/s
8.219.199.220,8443,true,SIN,Asia Pacific,Singapore,223 ms,5029 kB/s
47.236.254.120,8443,true,SIN,Asia Pacific,Singapore,227 ms,5026 kB/s
8.222.244.192,2083,true,SIN,Asia Pacific,Singapore,209 ms,5019 kB/s
8.222.249.190,2053,true,SIN,Asia Pacific,Singapore,228 ms,5017 kB/s
47.236.158.158,2083,true,SIN,Asia Pacific,Singapore,221 ms,5000 kB/s
8.219.60.54,2083,true,SIN,Asia Pacific,Singapore,216 ms,4987 kB/s
8.219.191.40,8443,true,SIN,Asia Pacific,Singapore,216 ms,4985 kB/s
47.236.158.158,2096,true,SIN,Asia Pacific,Singapore,209 ms,4969 kB/s
47.236.146.249,2087,true,SIN,Asia Pacific,Singapore,212 ms,4969 kB/s
